num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
129,34,21,0,0,0,5,0,0
72,61,10,0,0,0,21,0,1
58,45,22,0,0,0,2,0,0
73,52,27,0,0,0,11,0,0
28,25,5,0,0,0,1,0,0
70,63,12,0,0,0,3,1,1
225,138,60,0,0,2,22,0,0
7,7,1,0,0,0,1,0,1
51,44,15,0,0,0,6,0,1
237,128,43,0,0,1,73,0,0
48,44,0,0,0,0,29,0,1
10,10,0,0,0,0,5,0,1
48,38,18,0,0,0,3,0,0
56,53,7,0,0,0,9,1,0
211,125,62,0,0,3,17,0,0
98,51,11,0,0,0,24,0,0
177,128,56,0,0,0,14,1,1
88,61,3,0,0,14,36,0,0
76,50,15,0,0,1,24,0,0
13,9,0,0,0,0,7,0,1
64,52,14,0,0,0,8,0,0
280,155,109,1,1,4,7,0,0
465,240,152,0,0,0,20,2,1
150,65,19,0,0,0,17,0,1
74,61,25,0,0,0,4,0,0
42,35,11,0,0,0,6,1,1
37,35,6,0,0,0,4,0,1
106,76,21,3,3,4,18,0,0
269,150,82,3,3,1,10,0,1
249,114,65,0,0,2,30,0,0
13,13,5,0,0,0,0,0,0
124,81,24,0,0,11,25,0,0
107,71,36,0,0,0,3,0,1
40,35,14,0,0,0,2,0,0
29,29,9,0,0,0,2,0,1
199,116,75,0,0,0,12,1,0
161,113,59,1,1,1,19,1,0
676,610,58,0,0,0,63,0,1
34,32,9,0,0,0,1,0,0
35,32,3,1,1,0,8,0,0
208,135,73,0,0,0,5,0,1
23,21,11,0,0,0,1,0,0
100,82,33,0,0,0,7,0,1
249,147,98,0,0,0,9,0,0
38,32,10,0,0,0,4,0,0
307,178,71,1,1,1,17,1,1
103,79,36,0,0,0,7,0,1
57,47,20,0,0,1,4,0,0
81,63,35,0,0,0,0,0,1
72,56,14,0,0,5,14,1,0
225,211,11,0,0,0,31,0,1
3105,1014,968,10,4,0,136,2,0
399,213,147,1,1,1,6,0,1
52,45,14,0,0,0,6,0,1
55,49,15,0,0,0,4,0,1
2434,663,920,6,6,1,64,1,1
207,125,66,0,0,0,13,1,1
406,245,129,0,0,0,28,0,0
13,13,7,0,0,0,0,0,0
20,20,6,0,0,0,0,0,0
438,228,176,0,0,1,14,2,1
366,183,51,0,0,0,17,0,1
131,103,27,0,0,0,6,0,1
303,131,62,0,0,0,50,0,0
165,112,22,0,0,1,41,0,0
229,228,2,0,0,0,206,0,1
122,75,38,0,0,1,12,0,0
195,139,70,0,0,0,14,0,1
565,274,174,0,0,0,41,0,0
99,74,31,0,0,0,3,0,0
1337,516,459,0,0,0,25,0,1
11,10,2,0,0,0,2,0,1
50,41,19,0,0,0,2,0,1
96,72,32,0,0,0,9,1,1
41,37,8,0,0,1,4,0,0
559,293,164,0,0,0,31,2,1
256,130,64,0,0,3,30,0,0
160,108,46,3,1,0,3,1,1
69,55,19,0,0,0,5,1,1
104,74,31,0,0,0,8,0,0
488,239,124,0,0,0,73,1,0
10,10,3,0,0,0,3,0,1
240,213,4,0,0,0,138,0,1
44,36,13,0,0,0,1,0,1
95,55,38,0,0,0,11,1,0
174,112,48,0,0,2,17,0,0
51,43,23,0,0,0,3,0,0
70,60,10,0,0,0,20,0,1
690,301,170,1,1,6,94,1,0
6,6,1,0,0,0,0,0,1
97,71,39,0,0,0,1,0,0
25,18,5,0,0,0,8,1,0
166,75,40,0,0,0,31,0,0
60,46,16,0,0,0,6,0,0
119,81,42,0,0,0,2,1,0
86,67,29,0,0,0,10,0,0
1236,534,412,0,0,0,101,1,1
14,14,1,0,0,0,1,0,1
147,93,50,0,0,0,6,1,1
408,245,125,0,0,0,25,0,1
280,163,94,0,0,0,15,0,0
21,19,5,0,0,0,1,0,1
31,25,7,1,1,0,2,0,0
197,141,67,0,0,0,11,0,1
231,116,85,0,0,6,13,0,0
395,173,164,0,0,0,10,1,1
70,56,21,0,0,0,5,0,1
69,44,17,0,0,0,12,0,0
195,125,64,0,0,0,4,0,1
152,111,43,0,0,7,24,0,0
131,99,29,2,2,1,10,0,1
1002,344,326,0,0,16,56,0,0
540,329,132,0,0,0,106,1,1
24,24,5,0,0,0,1,1,1
68,50,14,1,1,0,6,0,1
155,88,28,5,3,4,30,0,0
198,147,73,0,0,0,4,0,1
39,35,8,0,0,0,12,0,1
7,7,1,0,0,0,2,0,0
172,106,6,0,0,0,53,0,1
132,91,26,4,3,1,10,0,1
178,76,14,0,0,4,67,0,0
195,109,88,0,0,0,7,0,0
48,46,5,0,0,0,1,0,1
126,91,37,0,0,1,9,0,0
343,191,125,1,1,0,11,0,0
115,71,56,0,0,0,3,0,0
15,14,5,0,0,0,1,0,0
77,56,17,0,0,3,13,0,0
169,134,44,0,0,0,25,0,1
18,17,9,0,0,0,1,0,0
37,32,13,0,0,0,0,0,0
553,244,233,0,0,0,19,1,1
104,99,13,0,0,0,6,0,1
231,144,81,0,0,0,6,0,1
1071,378,321,0,0,8,162,0,0
368,197,146,0,0,0,1,2,1
44,34,19,0,0,0,2,0,0
